0001, 58.636
0002, 50.497
0003, 63.532
0004, 52.023
0005, 66.572
0006, 67.283
0007, 62.0
0008, 54.847
0009, 51.715
0010, 57.451
0011, 62.003
0012, 42.564
0013, 63.554
0014, 62.848
0015, 58.636
0016, 52.654
0017, 54.853
0018, 51.412
0019, 61.996
0020, 46.822
0021, 63.064
0022, 43.116
0023, 49.06
0024, 62.0
0025, 40.303
0026, 52.524
0027, 69.292
0028, 61.786
0029, 62.0
0030, 62.854
0031, 51.669
0032, 57.451
0033, 49.476
0034, 65.681
0035, 61.345
0036, 62.457
0037, 51.964
0038, 62.145
0039, 62.859
0040, 49.064
0041, 43.407
0042, 54.853
0043, 46.26
0044, 61.57
0045, 54.254
0046, 46.117
0047, 61.998
0048, 51.777
0049, 57.703
0050, 56.726
